hiseq_id,sample_id,library,observed_stage,stage,sex,site_shrt,region,site,year,month,latitude,longitude,pcl,fl,tl
ATL_6-47,SC_1770,6,YOY,YOY,M,BLB,Atl,Bulls_Bay,2015,MAY,33.0095,-79.48533,457,504,565
ATL_6-49,SC_1850,6,YOY,YOY,M,BLB,Atl,Bulls_Bay,2015,JUN,33.03511,-79.54564,431,475,533
ATL_1-03,SC_788,1,NA,YOY,M,SHS,Atl,St._Helena_Sound,2013,JUN,32.50048,-80.54033,NA,445,500
ATL_1-04,SC_657,1,NA,YOY,M,SHS,Atl,St._Helena_Sound,2012,AUG,32.50048,-80.54033,NA,470,528
ATL_1-05,SC_658,1,NA,YOY,F,SHS,Atl,St._Helena_Sound,2012,AUG,32.50048,-80.54033,NA,500,562
ATL_1-07,SC_669,1,NA,YOY,M,SHS,Atl,St._Helena_Sound,2012,AUG,32.50127,-80.52822,NA,440,495
ATL_1-09,SC_672,1,NA,YOY,M,SHS,Atl,St._Helena_Sound,2012,AUG,32.4983,-80.51498,NA,482,542
ATL_11-01,SC_2268,11,NA,YOY,F,SHS,Atl,St._Helena_Sound,2016,AUG,32.443,-80.3793,508,560,707
ATL_11-11,SC_2322,11,NA,YOY,F,SHS,Atl,St._Helena_Sound,2016,AUG,32.5005,-80.5403,534,588,714
ATL_11-13,SC_2275,11,NA,YOY,UND,SHS,Atl,St._Helena_Sound,2016,AUG,32.5071,-80.5113,515,567,713
ATL_11-14,SC_2272,11,NA,YOY,F,SHS,Atl,St._Helena_Sound,2016,AUG,32.4882,-80.4758,500,551,694
ATL_11-15,SC_2270,11,NA,YOY,M,SHS,Atl,St._Helena_Sound,2016,AUG,32.4499,-80.4201,487,536,674
ATL_11-16,SC_2269,11,NA,YOY,F,SHS,Atl,St._Helena_Sound,2016,AUG,32.4417,-80.3929,494,544,672
ATL_1-14,SC_791,1,NA,YOY,F,SHS,Atl,St._Helena_Sound,2013,JUN,32.50048,-80.54033,NA,414,465
ATL_1-15,SC_792,1,NA,YOY,F,SHS,Atl,St._Helena_Sound,2013,JUN,32.50048,-80.54033,NA,427,480
ATL_1-16,SC_794,1,NA,YOY,F,SHS,Atl,St._Helena_Sound,2013,JUN,32.50048,-80.54033,NA,460,517
ATL_2-28,SC_671,2,NA,YOY,F,SHS,Atl,St._Helena_Sound,2012,AUG,32.50382,-80.5359,NA,512,575
ATL_2-33,SC_787,2,NA,YOY,M,SHS,Atl,St._Helena_Sound,2013,JUN,32.50048,-80.54033,NA,406,456
ATL_2-34,SC_682,2,NA,YOY,F,SHS,Atl,St._Helena_Sound,2012,AUG,32.44647,-80.37242,NA,530,595
ATL_2-36,SC_660,2,NA,YOY,F,SHS,Atl,St._Helena_Sound,2012,AUG,32.50048,-80.54033,NA,515,578
ATL_2-38,SC_673,2,NA,YOY,F,SHS,Atl,St._Helena_Sound,2012,AUG,32.46277,-80.45365,NA,544,611
ATL_2-39,SC_683,2,NA,YOY,M,SHS,Atl,St._Helena_Sound,2012,AUG,32.41042,-80.37648,NA,507,570
ATL_2-41,SC_670,2,NA,YOY,F,SHS,Atl,St._Helena_Sound,2012,AUG,32.50127,-80.52822,NA,491,552
ATL_2-42,SC_677,2,NA,YOY,F,SHS,Atl,St._Helena_Sound,2012,AUG,32.45648,-80.49908,NA,503,565
ATL_2-51,SC_659,2,NA,YOY,M,SHS,Atl,St._Helena_Sound,2012,AUG,32.50048,-80.54033,NA,547,614
ATL_2-52,SC_680,2,NA,YOY,M,SHS,Atl,St._Helena_Sound,2012,AUG,32.3992,-80.36107,NA,546,613
ATL_2-53,SC_678,2,NA,YOY,F,SHS,Atl,St._Helena_Sound,2012,AUG,32.42867,-80.3802,NA,544,611
